Parent1,Parent2,Child1,Child2
14.0,28.0,100,101
9.0,84.0,102,103
31.0,50.0,104,105
80.0,76.0,106,107
77.0,51.0,108,109
26.0,94.0,110,111
42.0,53.0,112,113
22.0,49.0,114,115
77.0,53.0,116,117
49.0,17.0,118,119
88.0,82.0,120,121
17.0,33.0,122,123
9.0,26.0,124,125
23.0,26.0,126,127
44.0,94.0,128,129
49.0,53.0,130,131
50.0,35.0,132,133
76.0,66.0,134,135
34.0,82.0,136,137
35.0,10.0,138,139
35.0,0.0,140,141
96.0,82.0,142,143
26.0,68.0,144,145
10.0,16.0,146,147
86.0,8.0,148,149
4.0,10.0,150,151
34.0,97.0,152,153
27.0,53.0,154,155
65.0,9.0,156,157
31.0,8.0,158,159
41.0,2.0,160,161
54.0,35.0,162,163
96.0,10.0,164,165
84.0,80.0,166,167
96.0,38.0,168,169
21.0,2.0,170,171
38.0,54.0,172,173
54.0,69.0,174,175
79.0,23.0,176,177
68.0,76.0,178,179
148.0,159.0,180,181
145.0,49.0,182,183
67.0,9.0,184,185
107.0,35.0,186,187
125.0,162.0,188,189
21.0,122.0,190,191
126.0,121.0,192,193
112.0,106.0,194,195
121.0,155.0,196,197
111.0,168.0,198,199
107.0,122.0,200,201
148.0,49.0,202,203
150.0,121.0,204,205
49.0,35.0,206,207
79.0,53.0,208,209
67.0,28.0,210,211
160.0,126.0,212,213
22.0,123.0,214,215
149.0,126.0,216,217
49.0,111.0,218,219
64.0,38.0,220,221
151.0,10.0,222,223
43.0,49.0,224,225
127.0,54.0,226,227
124.0,79.0,228,229
9.0,150.0,230,231
116.0,9.0,232,233
126.0,125.0,234,235
168.0,51.0,236,237
103.0,96.0,238,239
9.0,51.0,240,241
136.0,49.0,242,243
43.0,43.0,244,245
82.0,157.0,246,247
118.0,82.0,248,249
171.0,121.0,250,251
150.0,156.0,252,253
9.0,64.0,254,255
38.0,51.0,256,257
28.0,111.0,258,259
182.0,9.0,260,261
252.0,43.0,262,263
26.0,53.0,264,265
253.0,49.0,266,267
54.0,235.0,268,269
181.0,180.0,270,271
35.0,248.0,272,273
53.0,225.0,274,275
252.0,160.0,276,277
82.0,186.0,278,279
53.0,156.0,280,281
208.0,64.0,282,283
35.0,200.0,284,285
43.0,156.0,286,287
244.0,35.0,288,289
255.0,204.0,290,291
53.0,188.0,292,293
126.0,9.0,294,295
126.0,38.0,296,297
126.0,213.0,298,299
160.0,107.0,300,301
205.0,197.0,302,303
256.0,181.0,304,305
35.0,255.0,306,307
53.0,54.0,308,309
127.0,82.0,310,311
